ID;Edad;Experiencia;Ingreso;Postal;Familia;credito;educacion;cuenta de ahorros;servicios online;tarjeta de credito
3060;61;36;128;94550;1;2,6;1;0;1;0
1976;29;3;113;94132;2;0,2;1;0;1;1
161;29;0;134;95819;4;6,5;3;0;0;0
4398;48;23;19;90058;1;0,1;1;0;1;0
3193;65;39;35;94005;1;0,5;3;0;0;0
3675;42;16;38;93437;1;0,2;1;1;0;0
348;25;0;43;94305;2;1,6;3;1;1;1
1755;50;24;80;95616;4;4,9;1;0;1;0
182;36;12;10;93524;4;0,7;2;0;0;0
3314;48;24;24;91950;1;0,9;3;0;0;0
2426;54;30;78;92507;4;1,6;2;0;1;1
445;64;40;91;93106;2;0;3;0;1;1
2602;50;24;32;90277;1;1,4;3;0;0;0
3379;25;0;44;94536;4;0,6;2;0;0;1
4463;33;7;39;95630;4;0,8;1;0;1;1
4316;51;26;62;90024;4;1,8;3;0;1;0
158;41;17;83;94025;4;2,67;1;0;1;1
567;53;28;175;95060;3;3,6;3;0;1;1
257;26;0;99;92697;4;2,3;3;0;0;1
2576;42;16;41;90401;3;0,5;3;0;1;0
1931;56;29;51;94080;3;1;2;0;1;0
2717;41;17;34;92182;1;2;2;0;0;0
1273;64;39;83;95616;3;1,8;2;0;1;0
4045;36;11;9;90266;2;0,3;2;1;0;0
3451;29;4;14;94590;4;0,5;3;0;0;1
4197;49;25;13;95814;1;0,9;3;0;1;0
750;58;34;60;92008;4;1,6;2;0;0;1
782;56;32;158;94588;3;3,7;3;0;1;0
1562;46;20;73;93106;1;1,5;2;0;1;0
1121;34;8;38;94304;2;2;3;0;1;1
1779;27;3;32;94710;3;1;2;0;0;0
4693;59;35;32;92064;3;0,4;2;0;0;1
4562;59;33;59;91365;3;1,4;3;0;0;0
1938;51;25;181;95051;1;3,3;3;1;1;1
4973;58;32;41;93401;3;2,2;3;0;1;1
154;60;36;22;94551;2;1;1;1;1;1
4149;46;22;80;95747;4;2;3;0;1;0
1863;42;17;82;95616;1;3,7;3;0;1;0
2967;32;7;84;91320;3;0,6;2;0;1;1
619;63;37;42;91320;2;0,7;3;0;1;0
692;45;18;48;90025;3;2,5;2;0;1;1
4703;35;5;108;90630;2;2,75;3;1;0;0
2478;40;14;179;90025;1;2,6;3;0;1;1
3109;42;15;21;95678;3;1;2;0;1;0
2733;33;9;38;93106;1;2,1;3;0;0;0
2372;32;6;111;95014;2;1,5;3;0;0;0
793;41;16;98;93117;1;4;3;0;0;2
2268;38;13;168;92647;2;1,3;3;0;0;1
1030;41;17;20;94720;1;1,4;3;0;1;0
816;62;38;35;94596;1;1,9;2;0;0;0
2093;53;23;19;92673;4;0,4;3;0;1;0
4212;40;16;104;94301;2;1,8;2;0;0;0
2090;53;29;95;94304;1;2,7;2;0;1;0
3945;56;26;62;91320;3;1,4;3;0;1;0
2892;59;33;63;90044;1;1,6;1;0;1;1
281;33;8;64;92121;4;2,1;3;0;1;0
1459;51;25;33;93033;1;1,4;3;0;1;1
10;34;9;180;93023;1;8,9;3;0;0;0
817;49;23;65;94035;3;0,7;2;0;1;1
221;32;6;25;92130;2;0,3;1;0;0;1
2624;42;17;111;94304;3;3;1;1;0;1
2537;51;25;104;94949;1;4,2;2;0;1;0
3290;50;25;44;94303;1;0,3;1;0;1;1
1096;50;25;43;92129;1;1,4;3;0;1;0
3515;35;9;41;90024;4;1,2;2;0;1;0
4827;56;31;81;93943;2;0;3;0;0;0
3742;53;29;51;92152;2;3,2;3;0;1;0
1485;55;30;40;94126;2;2,3;3;1;1;0
1597;45;20;55;92606;4;1,9;3;1;0;0
3735;43;19;72;95193;4;0,2;3;0;1;0
909;66;36;55;93023;4;1,67;3;0;0;1
1011;27;3;98;95616;2;2,5;1;1;1;1
3914;45;20;62;92064;3;0,8;3;0;1;0
1108;47;21;79;94110;3;1,1;1;0;1;1
2701;31;5;39;94590;4;2,2;2;0;1;1
4221;54;30;39;94806;4;0,1;3;1;1;0
1331;34;9;64;92346;2;0,1;1;0;1;1
3897;48;24;224;93940;2;6,67;1;0;1;1
4729;59;35;31;90630;3;0,4;2;0;1;0
3780;53;27;64;93407;4;2,6;1;0;1;1
2068;58;32;180;91770;1;2,9;1;0;0;1
474;64;39;182;93955;1;1,2;2;0;1;0
3156;55;29;62;92626;3;0,3;2;0;1;0
2584;37;11;71;91302;1;2,5;1;0;1;1
979;52;26;68;92068;1;0,8;3;0;1;1
3700;46;22;83;94501;4;1,4;2;0;1;1
1475;48;23;79;92124;2;3,8;3;0;1;0
1352;59;35;84;94588;1;1,8;3;0;1;1
1134;31;4;28;94126;1;2;2;0;0;0
50;40;16;49;92373;1;1,8;1;0;0;1
1874;28;4;69;94538;3;0,7;2;0;1;0
640;62;36;32;92646;2;0,2;3;0;1;1
3734;58;32;72;94105;3;0,3;2;0;1;0
4955;45;19;22;94904;3;1,5;1;0;1;1
4181;36;6;11;92008;1;0,67;3;1;1;1
3840;31;5;42;93010;2;2;3;0;1;0
1376;50;26;179;92612;1;2,9;3;0;0;2
1971;27;3;148;92780;1;1,5;1;0;1;1
242;48;22;71;91711;1;1,4;3;0;0;1
1864;48;22;43;94588;1;1,2;2;0;1;0
2299;48;24;9;92630;4;0,5;2;0;0;1
1124;46;20;91;92521;4;2,6;3;0;0;0
1975;39;13;63;90095;4;0,2;3;0;0;0
4904;40;15;18;94534;2;0,1;2;0;1;1
4778;32;8;30;94534;4;0,4;2;0;1;0
3267;57;31;39;92821;1;2,2;3;0;1;1
2194;45;19;25;94609;2;0,1;3;0;1;0
2199;59;35;58;91355;1;0;2;0;1;0
4182;47;22;22;90024;1;0,4;3;0;1;0
1298;61;35;90;95814;4;1,9;2;0;1;0
1843;53;29;93;95051;1;2,7;2;0;1;0
4471;44;20;111;91911;2;5,3;2;0;1;0
2129;65;40;40;94104;1;1,1;3;0;0;0
47;39;14;43;95014;3;0,7;2;0;1;0
4987;32;6;78;95825;1;2,9;3;0;0;0
3101;52;27;81;90024;4;3,8;2;0;0;1
4924;40;15;73;92029;3;3;1;0;1;1
286;40;13;69;94305;3;2,33;2;0;0;0
1969;54;24;49;91801;1;1,4;3;0;1;0
2120;39;13;50;94923;3;0,5;3;0;0;0
2376;55;30;69;91007;4;1,3;3;1;1;1
509;47;22;15;95521;2;0,7;3;0;0;0
1264;35;5;85;92870;4;4;3;0;1;0
3963;29;5;31;93014;1;1;3;0;0;0
3580;28;2;84;94305;1;2,9;3;1;0;1
919;41;16;64;92325;3;0,5;3;0;0;0
2661;39;14;74;93063;1;0,1;2;1;1;0
2785;36;9;115;91765;4;2,2;2;0;0;0
730;58;28;90;93106;1;3;3;0;0;1
1426;64;38;40;91330;1;2,5;3;0;1;1
4972;58;28;73;90024;1;1,4;3;1;0;0
2674;54;30;88;92647;4;1;2;0;1;0
3981;46;22;89;92866;4;1,4;2;0;1;0
1655;60;34;102;94305;2;2;1;0;1;1
1966;45;20;94;90095;3;0,5;3;0;1;0
4645;58;34;22;94608;1;0,1;2;0;1;0
1917;57;32;64;95138;3;1,6;3;0;1;0
1172;64;40;43;95014;1;1,9;2;0;1;0
1391;29;3;80;94305;4;1,8;2;0;1;1
1225;59;35;45;94920;1;1,8;3;0;1;0
3172;39;12;62;91910;3;2,33;2;0;0;0
3710;37;11;43;92521;4;1,2;2;1;0;0
1892;42;18;50;95126;4;2,2;2;0;0;0
1748;29;5;21;90717;4;0,4;2;0;0;1
2318;31;5;129;95814;3;5,9;3;1;0;1
480;60;36;132;92154;2;6;1;0;1;1
2417;60;35;32;93611;1;0,3;3;0;1;0
4251;52;28;54;90041;4;0,1;3;0;0;1
2230;46;22;72;91711;4;1,4;2;0;1;1
1236;54;28;60;94110;4;2,6;3;0;0;0
123;58;32;73;94523;2;0,7;2;0;1;1
2352;55;31;74;94611;2;3,2;3;0;1;1
4624;50;25;45;90813;2;0,6;3;0;0;0
2075;52;27;81;91942;1;1,3;3;0;0;1
274;41;16;65;90095;3;0,5;3;0;1;0
2188;54;30;40;90024;2;1;3;0;0;0
82;47;22;40;94612;3;2,7;2;0;1;0
2034;49;23;83;92126;1;0,3;1;0;1;1
4641;30;6;42;90034;1;2,1;3;0;1;0
380;25;0;28;92093;2;1,7;2;0;0;0
4623;47;20;13;94545;3;0,67;2;0;1;0
1176;29;4;58;91006;1;0,8;2;0;1;1
142;35;11;58;95831;3;2;1;0;1;1
4686;63;39;41;91355;4;1,3;2;0;1;0
1743;64;38;42;95929;2;0,7;3;0;1;0
1952;45;21;84;94550;4;2;3;0;1;1
3804;42;18;83;96001;4;2;3;0;1;0
3154;31;5;18;94111;4;0,3;2;0;0;1
2614;52;26;110;94501;2;5,4;3;1;1;1
2885;28;2;48;93943;4;2,1;3;0;1;1
1235;44;18;33;90405;3;1,5;1;0;1;1
2727;62;37;18;92028;1;1,5;2;0;0;0
3620;45;20;42;94703;1;0,3;3;0;1;0
4410;43;19;75;91765;4;0,2;3;0;1;0
2185;62;36;183;90095;2;3,4;3;0;0;1
1324;52;26;45;91604;3;0,6;2;0;0;0
3950;31;5;23;93407;1;0,4;2;0;1;1
2115;62;36;69;95039;2;1,7;3;0;1;0
1064;56;30;39;90024;3;1,4;1;0;0;1
893;38;12;53;95616;2;2,4;2;0;1;0
3378;35;10;83;95370;4;0,7;3;0;1;0
2970;43;18;60;95039;2;2,2;3;0;0;0
3416;36;12;93;90720;2;2,2;1;0;1;1
866;60;34;22;92037;3;0,3;3;0;1;1
482;33;9;53;94063;1;1,2;1;0;0;1
2500;53;27;38;94105;4;2,8;2;1;1;0
537;25;-1;43;92173;3;2,4;2;0;1;0
672;65;41;105;92612;1;3;2;1;1;0
2577;60;36;30;93711;4;1,3;1;0;1;1
1220;45;18;80;92407;3;2,67;2;0;0;0
2147;27;3;30;93108;1;1;3;0;0;0
2193;25;1;13;95814;4;1;1;0;0;1
3800;37;11;44;93109;4;0,2;1;0;0;1
2994;65;40;20;92647;3;0,1;3;0;0;1
2753;51;25;34;95819;3;0,9;3;0;1;0
1737;57;31;131;95133;2;2,7;1;0;0;1
135;53;29;98;95035;3;1,8;2;0;0;0
4008;31;7;35;91745;2;1;2;0;0;1
2752;47;23;32;92251;4;0,6;1;0;1;1
2332;61;37;68;90245;4;2,3;3;0;0;0
1621;39;14;22;94035;2;0,3;2;0;1;0
1307;34;9;31;94115;4;1,1;3;0;1;1
2249;63;37;8;94618;1;0,8;2;0;1;0
1036;43;17;81;94720;4;2,6;3;1;1;0
192;51;25;29;90404;1;0,3;3;0;0;0
2453;25;1;28;94596;1;1;3;0;1;0
463;29;4;183;91423;3;8,3;3;0;1;0
4340;35;11;38;95518;1;1,7;1;0;0;1
2164;33;3;69;92161;4;1,8;3;0;1;0
4850;49;25;65;90007;2;1;3;0;1;1
3431;64;38;32;90291;2;0,3;1;0;1;1
12;29;5;45;90277;3;0,1;2;0;1;0
2839;30;6;181;94542;3;4,1;2;0;1;1
2285;47;23;22;94901;4;0,6;1;0;1;1
3762;49;24;25;95831;2;0,7;3;0;1;0
1787;35;11;34;93117;1;1,5;2;0;0;0
2026;47;20;79;94720;3;2;2;1;0;0
738;64;37;138;94709;2;2,8;2;0;1;0
4176;42;17;154;93955;3;4,9;1;0;1;1
4433;53;27;50;92660;2;0,8;3;0;1;0
1870;55;30;44;94025;2;2;2;0;1;0
369;63;37;30;92054;2;1;3;0;1;0
1250;51;27;80;90032;1;2,6;2;0;1;1
2853;54;29;183;93105;1;8,1;1;0;1;1
2241;41;17;81;92868;4;0,2;3;1;0;0
1100;30;6;52;92717;3;0,7;2;0;1;0
933;51;27;112;94720;3;1,8;2;1;1;1
613;65;40;129;90095;1;1,3;1;0;1;1
4067;61;37;61;94122;3;2;3;0;1;0
3975;46;21;41;94305;1;0,5;3;0;0;0
4495;29;4;182;95354;1;3,7;3;0;1;0
4533;48;22;133;90073;2;3,1;2;0;1;0
4970;45;19;60;94143;2;0,4;3;0;1;0
1610;66;41;105;93023;1;0,8;3;1;1;2
2246;54;28;33;94111;2;0,7;2;0;0;1
4995;64;40;75;94588;3;2;3;0;1;0
4258;43;17;48;95762;3;2,2;2;0;0;1
331;54;30;78;92374;4;1;2;0;1;0
2448;44;19;201;95819;2;8,8;1;0;1;1
365;54;24;29;92028;3;1;3;0;0;1
2374;33;9;184;94304;2;4,8;2;0;0;0
3830;65;39;44;92038;1;0,5;3;0;1;1
203;30;3;68;94306;4;2;2;0;1;0
2515;41;16;25;92182;2;0,1;2;1;0;0
3200;33;9;20;95521;4;0,7;2;0;1;0
3417;61;37;62;94111;1;0;2;0;1;0
364;25;0;30;92691;2;1,7;2;0;0;0
2278;30;6;32;91330;2;1;2;0;0;0
4902;26;0;54;96094;3;1,1;2;0;1;0
3967;33;7;84;95051;1;2,9;3;0;1;0
3527;58;33;9;95008;2;0,2;3;0;1;0
4560;47;20;101;91950;3;2;2;0;1;0
943;55;29;30;91320;4;0,7;2;0;0;1
2762;35;8;44;95045;4;1;2;0;0;1
3509;33;9;125;92182;1;4,3;3;0;1;0
3647;34;9;141;92056;3;6,9;2;0;1;0
3507;27;1;58;95827;4;1,8;2;0;1;1
3708;43;18;35;92647;1;0,6;3;0;0;0
4829;52;28;62;90089;1;1,8;3;0;1;0
3280;26;-1;44;94901;1;2;2;0;0;0
319;27;2;110;95670;4;1,8;3;0;1;0
723;45;21;132;91103;3;1,2;2;0;1;1
832;61;31;49;94066;4;1,67;3;0;1;0
4968;41;16;69;92697;1;0,1;2;0;1;0
1423;32;8;32;94143;2;1;2;0;1;1
3034;43;19;130;90630;2;4,7;3;0;0;2
2265;35;11;9;93106;4;0,7;2;0;1;0
2394;53;28;14;94005;4;0,8;1;0;1;1
2084;31;7;38;94025;1;0,2;3;0;1;0
2884;40;14;92;90024;4;1,4;2;0;1;0
1061;59;34;23;93111;1;0,1;1;0;0;1
2932;31;4;54;91741;2;1;2;0;0;1
4746;49;23;129;94085;1;0,3;1;0;1;1
3857;56;30;81;90401;4;2,6;3;0;1;0
3646;42;17;79;92103;1;3,7;3;1;0;1
1018;31;5;40;94305;4;1,3;3;0;0;0
961;46;22;144;93611;2;3,3;1;0;1;1
3920;64;34;179;90024;2;4,5;3;0;0;1
4670;27;1;64;94501;4;1,8;2;0;1;1
2421;63;39;40;91304;1;0,8;1;0;0;1
2683;53;27;81;90032;4;2,6;3;0;1;0
539;31;5;11;94534;1;0,4;2;0;0;1
506;36;12;69;94305;3;3,1;2;0;1;0
2619;23;-3;55;92704;3;2,4;2;0;1;0
4980;50;26;92;90740;1;2,6;2;0;0;1
4077;49;23;22;92220;1;0,3;3;0;0;0
3686;53;27;93;94588;1;0,8;3;0;0;1
4216;64;40;21;94028;2;0,3;3;0;0;0
2901;52;28;55;91320;2;3,2;3;0;0;0
2207;33;7;48;92831;4;2,2;2;0;0;0
1306;32;6;28;94025;2;0,3;2;0;1;0
3056;28;2;111;94305;4;2,3;3;0;1;0
2718;23;-2;45;95422;4;0,6;2;0;1;1
4192;42;15;39;91711;3;1;2;0;0;0
379;47;23;38;94618;2;2,1;3;0;0;0
1127;32;8;104;95192;2;3,7;1;0;0;1
3260;33;8;54;92251;3;2,3;1;0;0;1
3531;54;28;49;90073;4;2,8;2;1;0;0
952;59;34;83;94105;2;3,4;3;0;1;0
1060;28;2;11;91203;1;0,1;2;0;1;1
914;57;32;34;92507;2;2;2;1;0;0
87;40;16;42;94501;4;2,2;2;0;0;0
1632;61;36;153;91105;1;2,6;2;1;0;1
4217;60;35;173;90059;3;3,1;3;0;1;0
1173;49;24;45;92104;3;1,7;2;1;1;0
3669;38;13;129;92037;4;0,3;3;0;1;0
959;55;29;78;90747;4;2,6;3;0;0;1
2294;42;17;14;91768;2;0,1;2;0;1;0
1716;39;13;25;95370;3;0,2;2;0;1;0
3210;42;16;173;91355;2;1,5;2;0;1;1
337;36;12;65;95051;3;2,6;2;0;1;0
4921;42;16;28;94002;4;1,5;3;0;1;1
2497;63;37;32;93117;3;0,7;2;0;0;0
4370;50;25;19;94005;4;0,4;2;0;1;1
3949;37;12;123;94304;4;3,1;2;0;1;1
3775;51;26;52;92521;4;1,8;3;0;1;0
1059;59;34;24;94105;2;0,2;3;0;1;0
4981;29;5;135;95762;3;5,3;1;0;1;1
4669;40;14;63;94025;3;0,5;3;0;1;0
1340;52;25;180;94545;2;9;2;0;1;0
3362;31;5;85;94117;3;1,6;1;0;1;1
4300;30;5;73;90065;1;2,6;2;0;1;0
3033;47;22;19;94590;1;0,4;3;0;1;0
2439;62;37;29;91030;1;0,3;3;0;0;1
20;55;28;21;94720;1;0,5;2;1;0;1
4135;35;11;85;92154;4;0,1;2;0;0;0
2429;39;12;108;92717;4;3,67;2;0;0;1
31;59;35;35;93106;1;1,2;3;0;1;0
1544;52;26;101;93407;2;2,4;2;0;1;0
1152;49;23;12;94720;2;0,1;3;1;1;0
4571;32;6;99;91902;2;4,5;3;0;1;0
4380;42;17;53;93023;4;1,9;3;0;1;0
4288;54;28;42;95207;4;2,5;1;0;1;1
4159;59;34;74;92780;4;0,7;1;0;1;1
490;53;28;43;91380;2;2,1;3;0;1;1
1468;62;36;29;91107;2;0,7;3;0;0;0
14;59;32;40;94920;4;2,5;2;0;1;0
3123;38;14;54;90095;2;0,6;3;0;0;0
411;47;23;110;94111;2;3,3;1;0;1;1
4964;32;6;98;95054;2;4,5;3;0;0;0
3777;27;3;135;93108;3;2,7;3;0;0;1
3220;39;15;33;92346;1;2;2;0;0;0
1029;29;4;110;92096;4;2,5;3;0;0;0
3653;35;9;69;94704;4;2,2;2;0;0;1
4104;44;20;52;94143;1;0,8;3;0;0;1
4832;30;6;42;91711;1;2,1;3;0;0;1
579;46;19;49;92124;3;2,5;2;0;1;1
1136;57;33;9;93106;1;0,1;2;1;1;0
1817;45;19;91;92373;2;1,7;2;1;1;0
3678;59;33;43;94234;2;0,3;1;0;0;1
452;28;-2;48;94132;2;1,75;3;0;1;0
3677;62;37;22;95818;1;1,5;2;0;1;0
4031;58;32;44;92354;1;0,8;2;0;0;0
3247;41;17;81;95422;1;0,8;2;0;1;0
4367;52;28;43;90089;4;1,1;2;0;0;0
342;31;6;55;92038;4;2;2;0;1;0
532;32;6;50;90401;4;2,1;3;1;1;1
4126;60;34;95;94104;2;0,7;2;0;1;1
1867;48;24;90;94523;1;2,6;2;0;1;0
4951;47;23;19;90089;1;1;1;0;0;1
4229;34;10;83;95060;2;2;2;0;0;0
1846;43;18;65;93065;2;2,2;3;0;1;0
2074;46;20;54;91107;1;0,7;3;0;1;1
1701;43;16;71;90089;3;2,33;2;0;0;0
130;41;16;70;92131;3;0,5;3;0;0;1
4892;56;31;61;90024;4;0,9;1;1;1;1
4305;64;39;98;95678;3;1,8;2;0;1;0
1497;36;12;18;91330;1;0,5;3;0;0;1
1569;59;33;72;92350;2;0,7;2;0;0;0
910;23;-1;149;91709;1;6,33;1;0;0;1
3900;60;34;43;92697;1;1,4;1;0;1;1
1077;40;13;24;94608;3;1;2;0;1;0
4267;42;16;11;94015;1;0,2;1;0;0;1
3347;41;15;65;92037;2;2,8;1;0;1;1
1515;44;20;175;96150;2;1,4;1;0;1;1
3909;24;0;44;90638;3;0,1;2;0;0;0
1103;29;3;84;95023;1;2,9;3;0;1;0
3868;44;19;61;94080;3;2,7;2;0;0;0
4628;27;1;134;93106;1;1,7;2;0;1;0
3817;55;30;70;94904;3;2;2;0;1;1
2012;46;21;39;92507;4;0;2;0;1;0
1593;56;31;192;90089;1;7;3;0;1;1
2542;34;8;171;90212;2;2,2;2;0;1;0
4990;24;0;38;93555;1;1;3;0;1;0
2799;58;33;28;94720;1;0,3;3;0;1;0
708;47;20;25;95064;3;0,67;2;0;1;1
4459;48;22;90;94590;2;0,8;3;0;0;0
3869;41;16;44;92037;1;0,3;3;0;0;0
2339;42;18;130;94611;2;7,5;1;0;0;1
1266;32;2;71;95014;2;1,75;3;0;0;0
3221;61;35;28;93302;2;0,2;3;0;1;0
1704;65;41;40;94542;3;0,1;3;0;1;0
3323;41;16;104;92008;1;4;3;0;1;2
2286;48;22;114;92007;1;2,4;3;0;1;1
2504;38;14;20;94024;4;0,4;2;0;1;1
1452;44;20;82;94555;4;1,4;2;0;1;1
1918;62;32;53;96001;4;1,67;3;0;0;0
4579;45;20;90;94143;4;1,1;2;0;1;1
4935;26;0;85;93950;2;1,6;3;0;1;1
3248;44;20;113;95032;2;3,3;1;0;1;1
4859;50;24;62;94550;2;0,8;3;0;1;0
3143;34;8;175;95051;4;1,1;3;1;1;1
4468;55;30;99;91768;1;0,1;3;0;0;1
2906;64;40;8;94110;2;0,3;3;0;1;0
467;25;0;13;91342;2;0,9;3;0;1;0
3095;50;23;19;90272;1;0,5;2;0;0;1
100;66;41;15;91711;3;0,1;3;0;1;0
656;50;25;13;91109;2;0,7;3;0;0;0
4338;26;2;182;93010;2;3,2;2;0;0;0
2545;58;34;90;95039;1;3,6;2;0;0;0
715;50;23;98;92068;3;2;2;0;0;0
674;34;10;22;95670;1;0,5;3;0;0;0
3600;45;19;23;93101;2;0,1;3;0;1;1
4344;38;14;63;95422;1;3,6;2;1;1;0
1279;36;10;74;94305;1;2,5;1;0;0;1
4568;46;20;19;94105;3;0,5;2;1;1;0
141;51;25;31;90245;2;0,4;3;0;1;1
3157;54;30;24;92647;1;0,1;2;0;0;0
2190;48;23;128;94309;1;0,6;1;0;1;1
1566;34;9;104;95758;3;1,2;3;0;1;0
4396;66;41;25;94720;4;0,6;2;0;1;1
3149;48;22;19;95616;2;0,1;3;0;0;0
4867;41;17;71;94801;2;3,2;1;0;1;1
1180;36;11;98;90291;3;1,2;3;1;0;1
4207;48;23;29;93711;1;1,3;2;0;0;0
2298;59;35;31;94063;3;0,4;2;0;1;1
2050;43;18;94;92717;4;1,1;2;0;1;0
1478;40;14;64;91320;4;0,2;3;0;1;1
2790;27;3;34;90065;1;0,2;3;0;1;1
2366;43;18;22;91311;2;0,3;2;0;0;0
261;51;27;58;92407;1;0;1;0;0;1
4215;46;22;89;94303;1;2,7;1;1;1;1
3872;40;16;125;91304;2;1,9;1;0;0;1
4786;30;5;23;94304;2;0,9;3;1;1;0
912;47;21;68;94538;4;2,6;3;0;0;0
2237;51;24;23;95616;1;0,5;2;0;1;0
2161;43;17;55;93933;3;2,2;2;0;0;0
3225;45;21;58;94025;3;0,3;3;1;1;0
552;59;34;14;93118;1;0,1;1;0;1;1
2485;46;21;30;92697;1;1,4;3;1;0;0
1167;30;5;112;91711;4;5;2;0;0;1
2027;59;33;80;93907;2;0,7;2;0;1;0
137;59;32;49;95035;4;2,5;2;0;1;0
4408;37;13;71;90755;2;1,7;2;0;1;1
4434;62;38;44;92612;1;1,9;2;0;0;1
3197;37;7;73;94043;4;1,8;3;0;1;1
2640;52;26;59;95762;3;3;2;0;1;0
953;44;20;180;93943;2;7,6;1;0;0;1
4708;59;35;91;95008;2;1,6;1;1;0;1
3619;35;8;48;92697;2;1;2;0;1;0
4615;56;30;15;92093;4;0,7;3;0;0;0
4211;35;8;43;95819;2;1,67;2;0;0;0
1540;29;5;21;90601;3;0,9;3;0;0;0
4015;56;32;23;94720;4;0,7;1;0;1;1
3098;58;32;44;92182;3;2,2;3;0;0;0
2131;55;31;74;94607;3;2,67;1;0;0;1
2445;60;35;38;94701;3;0,5;2;0;1;1
4073;42;17;78;92521;1;1;3;0;1;0
354;53;29;55;95818;4;1,1;2;0;1;0
1263;26;1;53;94720;2;1,6;3;0;1;0
4626;45;21;102;92037;4;4,7;2;0;0;0
748;57;32;21;94112;3;0,1;2;1;1;0
4888;41;15;49;90245;3;0,9;3;0;1;1
3980;38;14;90;93010;2;0;1;1;1;1
3466;65;41;42;95616;1;1,9;2;0;0;0
1936;34;9;191;94086;1;4,8;3;0;1;1
43;32;7;132;90019;4;1,1;2;0;1;0
3953;61;36;124;94611;2;3,9;1;1;0;1
4692;41;17;65;90024;3;2,1;3;0;1;0
4985;27;1;98;94043;4;2,3;3;0;0;1
4665;62;37;83;93657;4;0,1;2;0;0;0
838;30;4;24;92096;1;0,4;2;0;1;0
739;36;10;80;94596;4;2,2;2;0;1;0
3718;61;37;73;94550;3;2;3;0;0;0
1648;35;5;68;90509;4;1,8;3;0;0;0
3430;39;14;28;91320;2;1,4;2;0;0;1
2973;31;7;38;92182;1;1,8;2;0;1;1
2496;46;22;70;94701;4;1,9;1;0;0;1
2081;65;40;69;91706;4;0,1;2;0;1;0
3244;52;26;31;92054;4;1,5;3;0;1;0
3783;30;5;80;91311;4;2,2;2;1;1;0
472;50;24;30;91768;4;0,1;1;0;1;1
1605;55;29;111;90502;2;3,6;3;0;0;2
